"Council","Address","Financial year","Type of audit report","Type 1 (qualified opinion)","Nature of qualified opinion 1","Description 1","Type 2 (qualified opinion)","Nature of qualified opinion 2","Description 2","Type 3 (qualified opinion)","Nature of qualified opinion 3","Description 3","Type 4 (EoM)","Nature of EoM 4","Description 4","Type 5 (EoM)","Nature of EoM 5","Description 5","Type 6 (EoM)","Nature of EoM 6","Description 6","Type 7 (Key audit matter)","Description 6","Type 8 (Other Matter Paragraph)"
"South Waikato District Council","Torphin Crescent
Tokoroa Tokoroa
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to page 126, which outlines that in response to the Government's Local Water Done Well reforms, the District Council has decided to establish a multi-owned water organisation with Waitomo District Council, Waipa District Council, Matamata-Piako District Council, Otorohanga District Council, Hauraki District Council, and Taupō District Council called Waikato Waters Limited to deliver water and wastewater services from 1 July 2026. The financial impact of this decision is unknown because detail of the exact arrangement are still being considered.",,,,,,,,,
"Kapiti Coast District Council","175 Rimu Road
Paraparaumu Paraparaumu
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to page 141, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to deliver water services itself directly.There is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,
"Southland District Council","15 Forth Street
Invercargill Invercargill 9810
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to page 148 to 149, which outlines that in response to the Government's Local Water Done Well reform, the Council has decided to continue to deliver water services in-house from 1 July 2027. At the time of adopting this Annual Report the Secretary for Local Government had not confimred acceptance of the Council's water service delivery plan (WSDP) proposal, meaning there is some unertainity if changes may be required.",,,,,,,,,
"Hauraki District Council","William Street
Paeroa Paeroa
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to page 168, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multiowned water organisation with five (possibly six) participating councils in the Waikato Region to deliver water and wastewater services during July 2025.The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,
"Rotorua District Council","1061 Haupapa Street
Rotorua Rotorua 3010
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to page 177, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to deliver water services itself directly or establish a multi-council owned water organisation to deliver water, wastewater and stormwater services from July 2028. There is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government",,,,,,,,,
"Otorohanga District Council","17 Maniapoto Street
Otorohanga Otorohanga
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to page 46, which outlines that in response to the Government's Local Water Done Well reforms, the District Council has decided to establish a multi-owned water organisation with Waitomo District Council, Waipa District Council, Matamata‑Piako District Council, South Waikato District Council, Hauraki District COuncil and Taupō District Council called Waikato Waters Limited to deliver water and wastewater services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,
"Central Hawke's Bay District Council","Ruataniwha Street
4-6 Brougham Street
Waipawa Waipawa 7866
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to page 85 which outlines that in response to the Governments Local Water Done Well reform, the Council has decided to establish a multi-owned water organisation with Hastings District Council and Napier City Council to deliver water, wastewater and stormwater services. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,
"Wairoa District Council","Coronation Square
Wairoa Wairoa
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to page 90, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a wholly owned water organisation to deliver water, wastewater and stormwater services from 1 July 2027. There is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,
"Clutha District Council","1 Rosebank Terrace
Balclutha Balclutha 9240
New Zealand","2024/25","Non-standard","Qualified","Service performance: Water services - response time","Qualified Opinion on the Statement of Service Performance. We were unable to obtain sufficient appropriate audit evidence for some of the performanceinformation related to each of the three waters services. From 1 July 2023 new contractor arrangementswere put in place for the delivery of water, wastewater and stormwater services at Council. Due to thetransition, data related to response times to customer notifications and resolution of faults orinterruptions was either not captured, or inaccurately captured for multiple months during the 2024/25 period, meaning Council has been unable to accurately report certain measures.",,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to page 96, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Gore District Council and Central Otago District Council to deliver water, wastewater and stormwater as relevant services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,
"Porirua City Council","Administration Building
Cobham Court
Porirua Porirua
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to pages 134 to 135 which outline that in response to the Government’s Local Water Done Well reform, the Council has decided to establish a multi-councilowned water organisation with Upper Hutt City, Hutt City, Wellington City and Greater Wellington Regional Council to deliver water, wastewater and stormwater services from 1 July 2026. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local
Government.",,,,,,,,,
"Waitaki District Council","20 Thames Street
Oamaru Oamaru
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to pages 176, which outlines that the Secretary for Local Government has not accepted the Council’s water services delivery plan. In that plan, the Council had proposed to maintain the status quo to deliver its water, wastewater and stormwater services.Due to this decision, the Council is expected to work with a Crown Facilitator appointed to re-draft the plans for delivery of water services. Council will likely incur additional cost in the future as it refines its non-compliant plan or develops alternative solutions. The magnitude of any such additional costs cannot be determined at this point as Council has not yet met to decide the next steps in the process.",,,,,,,,,
"Whangarei District Council","Forum North Building
Rust Avenue
Whangarei Whangarei
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to pages 286, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multiowned water organisation with Kaipara District Council and Far North District Council to deliver water and wastewater as relevant services from July 2027.The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,
"Gore District Council","Civic Centre
29 Bowler Avenue
Gore Gore 9710
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Future of water delivery","Future of water delivery: Without modifying our opinion, we draw attention to page 102, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Central Otago District Council and Clutha District Council to deliver water, wastewater and stormwater services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,
"Central Otago District Council","William Fraser Building
1 Dunorling Street
Alexandra Alexandra 9320
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Inherent uncertainties in the measurement of greenhouse gas emissions","Inherent uncertainties in the measurement of greenhouse gas (GHG) emissions. The Council has chosen to include a measure of its GHG emissions in its performance information. In considering the public interest in climate change related information, we draw attention to the
“measuring emissions” disclosure on page 21, which outlines the uncertainty in the reported GHG emissions. Quantifying GHG emissions is subject to inherent uncertainty because the scientific knowledge and methodologies to determine the emissions factors and processes to calculate or estimate quantities of GHG sources are still evolving, as are GHG reporting and assurance standards.","Emphasis of Matter","Future of water delivery","Future of water delivery. We draw attention to pages 163, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Gore District Council and Clutha District Council to deliver water, wastewater and stormwater services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,
"Waikato Regional Council","160 Ward Street
Hamilton Central
Hamilton Hamilton 3204
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Inherent uncertainties in the measurement of greenhouse gas emissions","Inherent uncertainties in the measurement of greenhouse gas emissions The Council has chosen to include a measure of its greenhouse gas (GHG) emissions in its performance information. Without modifying our opinion and considering the public interest inclimate change related information, we draw attention to Measure 19 on page 25 of the annual report, which outlines the inherent uncertainty in the reported GHG emissions. Quantifying GHG emissions is subject to inherent uncertainty because the scientific knowledge and methodologies to determine the emissions factors and processes to calculate or estimate quantities of GHG sources are still evolving, as are GHG reporting and assurance standards.",,,,,,,,,
"Environment Southland (Southland Regional Council)","202 North Road
Waikiwi
Invercargill Invercargill
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Inherent uncertainties in the measurement of greenhouse gas emissions","Inherent uncertainties in the measurement of greenhouse gas emissions. The Council has chosen to include a measure of its greenhouse gas (GHG) emissions in its performance information. Without modifying our opinion and considering the public interest in climate change related information, we draw attention to Measure 19 on page 25 of the annual report, which outlines the inherent uncertainty in the reported GHG emissions. Quantifying GHG emissions is subject to inherent uncertainty because the scientific knowledge and
methodologies to determine the emissions factors and processes to calculate or estimate quantities of GHG sources are still evolving, as are GHG reporting and assurance standards.",,,,,,,,,
"Christchurch City Council","53 Hereford Street
Christchurch Christchurch 8013
New Zealand","2024/25","Non-standard","Qualified","Service performance: Smooth travel exposure","Statement of service performance: Our work in the prior year was limited in relation to the performance measure. The average quality of ride on the sealed local road network, measured by smooth travel exposure The Council is required to report against the performance measures set out in the Non-Financial Performance Measure Rules 2024 (the Rules) made by the Secretary for Local Government. These mandatory performance measures include the average quality of ride on the sealed local road network measured by smooth travel exposure. This performance measure is important because road smoothness is indicative of the quality of service provided to the community. For the 30 June 2024 performance year, we were unable to obtain assurance over the accuracy of traffic estimate data used to calculate the performance measure, because this estimate data was not sufficiently up to date, as described on pages 132 and 133 of the annual report. The actual average quality of ride on the sealed local road network in the prior year may therefore differ materially from the result reported. As a result, our work was limited and there were no practicable audit procedures we could apply to obtain assurance over the accuracy of reported performance for this measure for the 2024 performance year, reported as comparative information. Our audit opinion on the statement of service performance for the year ended 30 June 2024 was modified accordingly. This issue has been resolved for the 30 June 2025 year. As the limitation on our work cannot be resolved for the 30 June 2024 year, the Council’s performance information reported for this measure for the 30 June 2025 year may not be directly comparable to the 30 June 2024 performance information.",,,,,,,"Emphasis of Matter","Inherent uncertainties in the measurement of greenhouse gas emissions","Inherent uncertainties in the measurement of greenhouse gas emissions. The Council has chosen to include measures of its greenhouse gas (GHG) emissions in its statement of performance. Considering the public interest in climate change related information, we draw attention to page 184 of the annual report, which outlines the inherent uncertainty in the reported GHG emissions. Quantifying GHG emissions is subject to inherent uncertainty because the scientific knowledge and methodologies to determine the emission factors and processes to calculate or estimate quantities of GHG sources is still evolving, as are GHG reporting and assurance standards.",,,,,,,,,
"Chatham Islands Council","Tuku Rd
Chatham Islands Chatham Islands 5743
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Material uncertainty related to going concern","Material uncertainty related to going concern. Note 16 on page 85 outlines how insufficient funding to meet increased costs continues to weaken the Council’s cash position and management’s plans to deal with the cash flow constraints. There is material uncertainty related to these conditions that may cast significant doubt on the Council’s ability to continue as a going concern.","Emphasis of Matter","Future of water delivery","Future of water delivery. Note 17 on pages 87 outlines that the Secretary for Local Government has rejected the Council’s water services delivery plan. In that plan, the Council had proposed to deliver water, wastewater and stormwater services itself directly from 1 July 2027.Following this decision, the Council is required to amend their plan and resubmit it in two stages, with the final resubmitted plan due by 30 June 2028. There is therefore uncertainty about future delivery of water services on the islands, the level of services the Council can continue to provide to its community, and the financial implications of the eventual delivery model.",,,,,,
"Manawatu-Wanganui Regional Council (Horizons)","11-15 Victoria Avenue
Palmerston North Palmerston North
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Uncertainties over the fair value of the shares in CentrePort Limited (CentrePort)","Uncertainties over the fair value of the shares in CentrePort Limited (CentrePort). Without modifying our opinion, we draw attention to Note 16 on pages 124 to 127, which outlines how the fair value of the shares in CentrePort as at 30 June 2025 has been determined. There are a number of uncertainties involved in estimating the fair value, as the key assumptions are sensitive to change. These uncertainties could have a material effect on the carrying value of the Regional Council’s shares in MWRC Holdings Limited of $31.5 million and the fair value of the group’s shares held in CentrePort of $66.7 million.",,,,,,,,,
"Queenstown-Lakes District Council","Civic Centre
10 Gorge Rd
Queenstown Queenstown 9300
New Zealand","2024/25","Non-standard",,,,,,,,,,"Emphasis of Matter","Uncertainties relating to the Lot 6 provision estimation (Group only)","Uncertainties relating to the Lot 6 provision estimation (Group only) Without modifying our opinion. We draw attention to Note 14 on page 138 which outlines that there is a high level of uncertainty in estimating any additional compensation that may be required to settle the ongoing dispute in relation to the compulsory acquisition of Lot 6. QAC has recognised a provision which represents potential cash payments determined based on independent external valuations as at 30 June 2025. The Land Valuation Tribunal (LVT) hearing in relation to Lot 6 concluded in April 2025, with a decision on the compensation payable still to be released. Additional compensation may be in excess of the provision recognised.","Emphasis of Matter","Future of water delivery","Future of water delivery. Without modifying our opinion, we draw attention to page 147, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a wholly owned water organisation to deliver water services from 1 July 2027. At the time of adopting this Annual Report the Secretary for Local Government has not confirmed acceptance of the Council’s water services delivery plan (WSDP) proposal, meaning there is some uncertainty if changes may be required.",,,,,,
"West Coast Regional Council","388 Main South Rd
Greymouth Greymouth 7805
New Zealand","2024/25","Non-standard","Qualified","Financial statements","Financial statements: Comparative information not presented in the statement of revenue and expenses. As part of the long-term planning process, the Regional Council restructured its operating activities from seven to five new groups of activities. These five new groups of activities form the basis for the classification of expenditure in the statement of comprehensive revenue and expenditure included in the audited information. The Regional Council has not reclassified the previous historical financial information with the new activity structures, and has therefore not presented comparative information in relation to expenditure by operating activity as required by generally accepted accounting practice.","Qualified","Financial statement","Financial statements: Our work was limited in relation to the previous year revaluation of the Seawalls, Stopbanks and Earthworks assets. The Regional Council revalued its seawalls, stopbanks and earthworks assets as at 30 June 2024. The approach taken by the independent valuer to determine the value of these assets placed significant reliance on the price of components provided by the Regional Council and third parties.

Our audit report on the 30 June 2024 financial statements was qualified because the Regional Council was not able to provide evidence to support the pricing assumptions made by the independent valuer. Therefore, we were unable to obtain sufficient audit evidence for the value of these assets included in the property, plant and equipment and the related revaluation reserve in the Statement of Financial Position as at 30 June 2024, and the revaluation movement in the statement of comprehensive revenue and expenses and statement of changes in equity for the year ended 30 June 2024.

As a result of the matter described above, we were also unable to obtain sufficient audit evidence to support the revaluation reserve movement in the statement of comprehensive revenue and expenses and statement of changes in equity for the year ended 30 June 2025. In addition, our opinion on the 30 June 2025 statement of financial position is qualified due to the potential lack of comparability of this information with the 30 June 2024 reported balances.","Qualified","Financial statements","Funding impact statements for each group of activities. Comparative information not presented in accordance with clause 26 of Schedule 10 of the Act As noted above, the Regional Council restructured its groups of activities as part of its long-term planning processes. The Regional Council did not reclassify the 2023/24 comparative forecasts in the 2024-34 LTP. As a result, the Regional Council has not presented forecast comparative information in its funding impact statements for each group of activities on pages 20, 27, 32, 39, and 42, which is required under clause 26(2) of Schedule 10 of the Act.",,,,,,,,,,,,
"Auckland Council","ASB Building
135 Albert Street
Auckland Central
Auckland Auckland 1010
New Zealand","2024/25","Non-standard","Qualified","Service performance: High risk resource consents monitoring ","Qualified opinion on the service performance information. The Group in its Long-term plan 2024-2034 has included a new performance measure for its monitoring of high-risk resource consents. The Council has reported its performance against this measure in Volume 1 on pages 82 and 84. As explained by the Council on page 82 and footnote 8 on pages 85-86, there are data integrity issues, including inaccuracies in the risk classifications for consents. Due to these data limitations, we are unable to determine whether the reported result is materially correct. As a result, our opinion is qualified in respect of this performance measure.",,,,,,,,,,,,,,,,"Key Audit Matter","1) Audit of the service performance information (statement of service provision)

2) Valuation of infrastructure assets: Water and Wastewater, and Roads and Formation

3) Valuation of the weathertightness and property buy-out provisions

4) Valuation of derivatives",
"Environment Canterbury Regional Council","200 Tuam Street
Christchurch Christchurch 8053
New Zealand","2024/25","Non-standard","Qualified","Service performance: Flood Protection","Qualified opinion on the statement of service performance (called ‘Reporting on our core services’) Statement of service performance. Our work was limited in relation to theperformance measure: Percentage of stopbanks, river berms and fairways on our six major flood protection and control schemes that are inspected annually. An important part of the Council’s performance information relates to the inspection of its significant flood protection assets because of the impact that flooding can have on the community. As disclosed on page 59 of the annual report, the GIS system did not systematically record the details of when inspectionsfor river berms and fairways took place. As a result, our work was limited andthere were no practicable audit procedures we could apply to determine whether the Council’s reported performance for this performance measure of 92% fairly presents actual performance for the reporting year.",,,,,,,,,,,,,,,,,,
"Taupo District Council","Level 1, 107 Heu Heu Street
Taupo Taupo 3330
New Zealand","2024/25","Non-standard","Qualified","Service performance: Roads & footpaths","Statement of service performance: Our work was limited in respect of certain responsiveness performance measures. The Council is required to report against the performance measures set out in the Non-Financial Performance Measure Rules 2024 (the Rules) made by the Secretary for Local Government. These include mandatory performance measures relating to:
• the responsiveness of the Council to customer service requests relating to its roads and
footpaths;
• the time taken to attend to and resolve water supply and wastewater faults; and
• the time taken to attend flooding events.
We identified significant issues with these performance measures. As explained on pages 19 and 43 the Council did not have sufficiently reliable systems in place to support the reported performance for the responsiveness to customer service requests relating to roads and footpaths. As a result of this issue, our work was limited and there was no practicable audit procedures we could apply to obtain assurance that the reported result for this measure is materially correctly stated.",,,,,,,,,,,,,,,,,,
"Opotiki District Council","108 St John Street
Opotiki Opotiki
New Zealand","2024/25","Non-standard","Qualified","Service performance: Water services - response time","Statement of service performance: Our work was limited in respect of resolution times for sewerage overflows and response times for customer service requests for roads and footpaths. The Council is required to report against the performance measures set out in the Non-Financial Performance Measure Rules 2024 (the Rules) made by the Secretary for Local Government. These include mandatory performance measures relating to:
• the time taken to resolve sewerage overflows; and
• the response times for customer service requests relating to roads and footpaths.
We identified significant issues with these performance measures. As explained on page 52, 61 and 62, the Council was unable to provide adequate support for the reported performance against these measures. As a result of these issues, our work was limited and there were no practical audit procedures we could apply to obtain assurance that the reported results for these measures are materially correctly stated.",,,,,,,,,,,,,,,,,,
"Invercargill City Council","101 Esk Street
Invercargill Invercargill 9810
New Zealand","2024/25","Non-standard","Qualified","Service performance: Smooth travel exposure","Statement of service performance: Our work was limited in the prior year with respect to the performance measure on the average quality of ride on the sealed local road network measured by smooth travel exposure. For the 30 June 2024 performance year, we were unable to obtain assurance over the accuracy of traffic estimate data used to calculate the performance measure, because the data was not sufficiently up to date. The actual average quality of ride on the sealed local road network in the prior year may therefore differ materially from the result reported. As a result, our work was limited and there were no practicable audit procedures we could apply to obtain assurance over the accuracy of reported performance for this performance measure for the year ended 30 June 2024, reported as comparative information. Our audit opinion on the statement of service performance for the year ended 30 June 2024 was modified accordingly.This issue has been resolved for the 30 June 2025 performance year. As the limitation on our work cannot be resolved for the 30 June 2024 year, the Council’s reported performance for this performance measure for the 30 June 2025 year may not be directly comparable with the 30 June 2024 performance information.",,,,,,,,,,,,,,,,,,
"Ashburton District Council","Cnr Havelock & Baring Streets
Ashburton Ashburton
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Buller District Council","Brougham House
6-8 Brougham Street
Westport Westport 7866
New Zealand","2024/25",,,,,,,,,,,,,,,,,,,,,,
"Hawke's Bay Regional Council","102 Vautier Street
Napier Napier
New Zealand","2024/25","Non-standard",,,,,,,,,,,,,,,,,,,,"Other Matter Paragraph","The Regional Council has chosen to report its greenhouse gas (GHG) emissions in its performance
information. Without further modifying our opinion and considering the public interest in climate
change related information, we draw attention to page 36 of the annual report. Quantifying GHG
emissions is subject to inherent uncertainty because the scientific knowledge and methodologies to
determine the emissions factors and processes to calculate or estimate quantities of GHG sources
are still evolving, as are GHG reporting and assurance standards."
"Hurunui District Council","66 Carters Rd
Amberley Amberley 7410
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Marlborough District Council","15-21 Seymour Street
Blenheim Blenheim
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Northland Regional Council","36 Water Street
Whangarei Whangarei 0148
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Otago Regional Council","Regional House
70 Stafford Street
Dunedin Dunedin
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Selwyn District Council","2 Norman Kirk Drive
10 Gorge Rd
Rolleston Rolleston 7643
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"South Taranaki District Council","Albion Street
Hawera Hawera
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Taranaki Regional Council","47 Cloton Road
Stratford Stratford
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Timaru District Council","2 King George Place
Timaru Timaru 7940
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
"Waimakariri District Council","215 High Street
Rangiora Rangiora
New Zealand","2024/25","Standard",,,,,,,,,,,,,,,,,,,,,
